34200.004241176,1,16113575,18,5853300,1
34200.025551909,1,16120456,18,5859100,-1
34200.201743336,3,16120456,18,5859100,-1
34200.201780978,3,16120480,18,5859200,-1
34200.205573445,1,16167159,18,5853600,1
34200.271739507,1,3647217,20,5857300,1
34200.271739507,1,5740544,40,5857400,-1
34200.275016159,4,5740544,40,5857400,-1
34200.275016159,4,3570647,25,5857500,-1
34200.275057494,4,3647217,1,5857300,1
34200.275063291,4,3647217,10,5857300,1
34200.275072491,4,3570647,25,5857500,-1
34200.275072491,4,3647221,5,5857500,-1
34200.275072491,4,3647222,7,5857500,-1
34200.275072491,4,5230851,20,5857500,-1
34200.275072491,4,1373927,25,5857800,-1
34200.275072491,4,1601225,20,5857800,-1
34200.275072491,5,0,100,5857900,-1
34200.275072491,4,2606421,4,5858000,-1
34200.275072491,4,1364835,5,5858200,-1
34200.275072491,4,7277867,7,5858300,-1
34200.275072491,5,0,3,5859000,-1
34200.275072491,5,0,200,5859000,-1
34200.275072491,5,0,1,5859100,-1
34200.275072491,5,0,1,5859200,-1
34200.275072491,5,0,300,5859200,-1
34200.275072491,4,16166035,37,5859300,-1
34200.275123235,1,16182649,50,5857400,1
34200.28039589,1,16183794,18,5857700,1
34200.347390612,1,16196199,100,5859300,-1
34200.358687488,4,16166035,4,5859300,-1
34200.417746832,4,16183794,18,5857700,1
34200.417746832,4,3647217,9,5857300,1
34200.417746832,5,0,23,5857200,1
34200.418943908,5,0,77,5857200,1
34200.418943908,4,2109823,23,5857000,1
34200.419089711,1,16211220,18,5859200,-1
34200.459503459,3,16186225,100,5857000,1
34200.610751386,3,16211220,18,5859200,-1
34200.701389248,1,16265573,100,5858700,-1
34200.763059946,4,2109823,1,5857000,1
34200.833761339,1,16284218,100,5857000,1
34200.834524603,3,16284218,100,5857000,1
34200.887406162,5,0,47,5858600,-1
34200.887488522,1,16291236,18,5857000,1
34200.887548747,1,16291244,18,5857100,1
34200.911977878,1,16294463,100,5857400,1
34201.00965512,5,0,200,5857500,1
34201.00965512,5,0,300,5857500,1
34201.011352575,4,16294463,100,5857400,1
34201.014980201,4,2109823,26,5857000,1
34201.015080514,4,3237773,20,5856900,1
34201.015180053,1,16310817,18,5856600,1
34201.043832887,1,16316688,18,5856900,1
34201.171271698,3,16316688,18,5856900,1
34201.17297637,4,3583158,5,5856500,1
34201.17297637,4,3647220,20,5856400,1
34201.17297637,4,4731250,3,5856000,1
34201.17297637,4,3647224,15,5855900,1
34201.17297637,4,4725584,1,5855500,1
34201.17297637,4,2118573,9,5855000,1
34201.17297637,4,3562118,5,5855000,1
34201.17297637,4,9480911,25,5855000,1
34201.17297637,5,0,17,5855000,1
34201.173094452,1,16337399,18,5858700,-1
34201.1731408,1,16337407,5,5858600,-1
34201.173141799,1,16337408,13,5858600,-1
34201.173174928,1,16337414,18,5854800,1
34201.17320583,1,16337423,18,5858400,-1
34201.183611554,5,0,53,5855000,1
34201.183713008,1,16338748,15,5854900,1
34201.188030854,5,0,20,5855000,1
34201.188124042,1,16339418,15,5858300,-1
34201.384238778,3,16338748,15,5854900,1
34201.39750588,1,16365896,100,5858000,-1
34201.536315252,1,16380157,18,5857700,-1
34201.732217592,1,16396043,18,5854700,1
34201.73236517,3,16380157,18,5857700,-1
34201.732368385,3,16380182,18,5857800,-1
34201.732392812,3,16380190,18,5858000,-1
34201.840762287,1,16402634,18,5857700,-1
34202.030342281,4,16396043,18,5854700,1
34202.030342281,4,16396051,5,5854600,1
34202.030342281,5,0,77,5854500,1
34202.030451996,1,16415481,13,5857600,-1
34202.034349986,1,16415792,18,5857300,-1
34202.179737249,5,0,200,5854600,1
34202.255253777,5,0,4,5854500,1
34202.255253777,5,0,26,5854500,1
34202.255342116,1,16445672,18,5857300,-1
34202.25538437,1,16445684,10,5857200,-1
34202.255391393,1,16445687,8,5857200,-1
34202.255445644,1,16445707,18,5857200,-1
34202.269697512,1,16449896,100,5854400,1
34202.272992647,3,16449896,100,5854400,1
34202.383613299,3,16445687,8,5857200,-1
34202.383614811,3,16445707,18,5857200,-1
34202.383643886,3,16445684,10,5857200,-1
34202.491574399,1,16479076,100,5856900,1
34202.491899451,3,16479076,100,5856900,1
34202.565551981,1,16486693,18,5857700,-1
34202.579213337,1,16488533,100,5854700,1
34202.682315289,1,16497956,18,5857400,-1
34202.682720418,1,16497983,18,5857100,-1
34202.737723008,1,16502634,100,5857100,-1
34202.75688423,1,16504889,18,5856800,-1
34203.011800486,3,16488533,100,5854700,1
34203.011926972,4,16504889,18,5856800,-1
34203.011926972,4,16504892,16,5856900,-1
34203.011926972,1,16527925,66,5857000,1
34203.012001355,3,16497983,18,5857100,-1
34203.012050158,4,16527925,66,5857000,1
34203.012287906,1,16527982,18,5854500,1
34203.08949192,1,16535218,18,5856800,-1
34203.122241619,1,16538191,10,5854600,1
34203.132689191,1,16539283,12,5856500,-1
34203.295569158,4,16539283,12,5856500,-1
34203.295569158,4,16535218,18,5856800,-1
34203.295665697,1,16554356,18,5854600,1
34203.295825553,3,16535225,18,5856900,-1
34203.295826267,3,16535234,18,5857100,-1
34203.324279569,5,0,26,5857000,-1
34203.324279569,5,0,44,5857000,-1
34203.32437532,1,16556599,10,5854700,1
34203.407470515,1,16563530,18,5856800,-1
34203.600207608,3,16556599,10,5854700,1
34203.600228364,3,16563530,18,5856800,-1
34203.600245629,3,16563538,18,5857000,-1
34203.954770435,1,16617159,18,5854500,1
34204.105356795,1,16632807,18,5854700,1
34204.127697885,3,16502634,100,5857100,-1
34204.328788797,1,16655686,16,5857900,-1
34204.328940476,3,16632807,18,5854700,1
34204.328981067,3,16632813,2,5854600,1
34204.36362978,1,16658480,18,5854700,1
34204.398386311,1,16661173,18,5857600,-1
34204.56766787,3,16658480,18,5854700,1
34204.567694597,3,16658486,2,5854500,1
34204.567732501,3,16661173,18,5857600,-1
